"Challenge H-ID",rec_Title,Source,"Source year","Boxers challenging H-ID",rec_Title,Title,"Given name(s)","Person type","Family name","Boxer Challenged H-ID",Status,Conditions,Basis,"Location Description",City,Location
1291,"Romero
Muñoz","Los Sports",1925-07-10,1289,"Romero, Jose P.","Colchagua Champion","Jose P.",Boxer,Romero,1290,,,,,,
1295,"Nemesio
Guzman","Los Sports",1925-07-10,1292,"Nemesio, Oscar",,Oscar,Boxer,Nemesio,921,,,,,,"POINT(289.869073 -20.248795)"
1298,"Manriquez
Tellez","Los Sports",1925-07-31,1296,"Manriquez, Enrique",,Enrique,Boxer,Manriquez,1297,,,,,,
1302,"Soto
Sanguinetti","Los Sports",1925-07-31,1299,"Soto, Arturo",,Arturo,Boxer,Soto,1301,,,,,,"POINT(289.011712 -34.585725)"
1303,"Saavedra
Férnandez","Los Sports",1925-08-07,1026,"Saavedra, Clemente",,Clemente,Boxer,Saavedra,276,,,,,Rancagua,"POINT(289.258701 -34.16474)"
1309,"Osorio
Nuñez","Los Sports",1925-10-09,1304,"Osorio, Carlos",,Carlos,Boxer,Osorio,1310,,,,,,
1311,"Vargas
Contreras","Los Sports",1925-08-14,178,"Vargas, Armando",,Armando,Boxer,Vargas,62,,"middleweight championship",,,,
1312,"Ortega
Muñoz","Los Sports",1925-08-14,244,"Ortega, Eliecer",,Eliecer,Boxer,Ortega,1313,,,,,,
1317,"Olguín
Sedan","Los Sports",1925-11-27,647,"Olguín, Humberto",,Humberto,Boxer,Olguín,1314,,,,,,
1318,"Molina
Guzman","Los Sports",1925-11-27,1261,"Molina, Alfredo",,Alfredo,Boxer,Molina,921,,,,,,
1319,"Cutiño
Uzabeaga","Los Sports",1923-05-25,660,"Cutiño, Eduardo",,Eduardo,Boxer,Cutiño,284,,,,,,
1322,"Zamora
Roberts","Los Sports",1925-06-21,1236,"Zamora, German",,German,Boxer,Zamora,1321,,,,,Valparaíso,"POINT(-71.631098 -33.040765)"
1327,"Navarro
Jaña","Los Sports",1923-09-28,1324,"Navarro, Alberto",,Alberto,Boxer,Navarro,223,,,,,Santiago,"POINT(-70.650454 -33.437912)"
1329,"Navarro
Calda","Los Sports",1923-09-28,1324,"Navarro, Alberto",,Alberto,Boxer,Navarro,1328,,,,,Santiago,"POINT(-70.650454 -33.437912)"
1330,"Vergara
Neira","Los Sports",1923-09-28,1325,"Vergara, Eduardo",,Eduardo,Boxer,Vergara,1326,,,,,Santiago,"POINT(-70.650454 -33.437912)"
1331,"Román
Sánchez","Los Sports",1923-11-16,188,"Román, Julio",,Julio,Boxer,Román,1250,"tie break",,,,,
1334,"Murias
Mery",1923-11-28,"Los Sports",1332,"Murias, Emiliano","northern zone champion",Emiliano,Boxer,Murias,594,,"whatever Mary determines","230 box, Antofagasta",,Antofagasta,"POINT(-70.388546 -23.645295)"
1337,"Aguilera
Moreno","Los Sports",1928-12-29,144,"Aguilera, Leopoldo",,Leopoldo,Boxer,Aguilera,1336,,,,,,
1338,"Carvajal
Baeza","Semanario La Prensa Los Andes",1927-12-04,835,"Carvajal, Julio",,Julio,Boxer,Carvajal,836,,,,,"San Felipe",
1340,"Huerta
Medalla","Semanario La Prensa. Los Andes",1928-01-22,842,"Huerta, Luis",,Luis,Boxer,Huerta,837,"not accepted","Whatever the boxer challenged desires","Through this press",,,
1341,"Mac-Conell
Rios","Semanario La Prensa. Los Andes",1928-02-02,890,"Mac-Conell, Roberto",,Roberto,Boxer,Mac-Conell,866,"not accepted","whatever conditions the chellenged boxer decide","through this newspaper",,"San Felipe",
1343,"Cifuentes
Farias","Semanario La Prensa. Los Andes",1928-02-09,867,"Cifuentes, Alex",,Alex,Boxer,Cifuentes,872,accepted,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1345,"Mac-Conell
Carvajal","Semanario La Prensa. Los Andes",1928-02-09,890,"Mac-Conell, Roberto",,Roberto,Boxer,Mac-Conell,835,accepted,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1346,"Valdes
Lemus","Semanario La Prensa. Los Andes",1928-02-09,875,"Valdes, Miguel",,Miguel,Boxer,Valdes,839,,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1347,"Ortega
Baeza","Semanario La Prensa. Los Andes",1928-02-09,876,"Ortega, Oscar",,Oscar,Boxer,Ortega,836,,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1348,"Rojas
Huerta","Semanario La Prensa. Los Andes",1928-02-09,873,"Rojas, Gregorio",,Gregorio,Boxer,Rojas,842,,,"answer through this media",,"Los Andes","POINT(-70.598161 -32.833687)"
1349,"Barcelo
Baeza","Semanario La Prensa. Los Andes",1928-02-16,886,"Barcelo, Oscar",,Oscar,Boxer,Barcelo,836,,,,,,
1353,"Rios
Aracena","Semanario La Prensa. Los Andes",1928-02-16,1352,"Rios, Manuel",,Manuel,Boxer,Rios,1351,,"whatever the chellenged boxer wishes",,,"San Felipe","POINT(-70.725202 -32.750698)"
1354,"Fuentes
Aracena","Semanario La Prensa. Los Andes",1928-02-16,889,"Fuentes, Francisco",,Francisco,Boxer,Fuentes,1351,revancha,,,,"San Felipe","POINT(-70.725202 -32.750698)"
1357,"Mac-Conell
Baeza","Semanario La Prensa. Los Andes",1928-02-26,1355,"Mac-Conell, David",,David,Boxer,Mac-Conell,836,,"10 rounds",,,"Los Andes",
1358,"Baeza
Badani","Semanario La Prensa. Los Andes",1928-02-26,836,"Baeza, Florencio",,Florencio,Boxer,Baeza,826,,"10 rounds",,,"Los Andes",
1360,"Baeza
Valdes","Semanario La Prensa. Los Andes",1928-02-26,836,"Baeza, Florencio",,Florencio,Boxer,Baeza,833,,"10 rounds",,,"Los Andes",
1361,"Castillo
Baeza","Semanario La Prensa. Los Andes",1928-03-02,865,"Castillo, Ernesto",,Ernesto,Boxer,Castillo,836,,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1362,"Araya
Mendoza","Semanario La Prensa. Los Andes",1928-04-05,1247,"Araya, Dionisio",,Dionisio,Boxer,Araya,844,,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1363,"Valdes
Pérez","Semanario La Prensa. Los Andes",1928-04-08,833,"Valdes, Mario",,Mario,Boxer,Valdes,272,,,,,"Los Andes",
1364,"Ortiz
Araya","Semanario La Prensa. Los Andes",1928-04-08,976,"Ortiz, Rafael",,Rafael,Boxer,Ortiz,882,,"conditions with the manager, in Santa Rosa 181",,,"Los Andes",
1365,"Valdes
Gallardo","Semanario La Prensa. Los Andes",1928,833,"Valdes, Mario",,Mario,Boxer,Valdes,827,,,"set basis in Av Independencia 564",,"Los Andes",
