"Boxer H-ID",rec_Title,Title,"Given name(s)","Person type","Person type ID","Person type StdCode","Family name"
1245,"Arriagada, Edgardo",,Edgardo,Boxer,6256,,Arriagada
1249,"Laverry, Jim",,Jim,Boxer,6256,,Laverry
1250,"Sánchez, Domingo",,Domingo,Boxer,6256,,Sánchez
1253,"Cazzano, Miguel",,Miguel,Boxer,6256,,Cazzano
1255,"Lucero, Luis",,Luis,Boxer,6256,,Lucero
1258,"Vermar, Raul",,Raul,Boxer,6256,,Vermar
1259,"Ortiz, Clodomiro",,Clodomiro,Boxer,6256,,Ortiz
1262,"Soto, Gerardo",,Gerardo,Boxer,6256,,Soto
1261,"Molina, Alfredo",,Alfredo,Boxer,6256,,Molina
263,"Risso, Manuel",,Manuel,Boxer,6256,,Risso
727,"Tobar, Marcos","heavyweight champion 1925 Rancagua",Marcos,Boxer,6256,,Tobar
1267,"Paiva, Victor M.",,"Victor M.",Boxer,6256,,Paiva
1268,"Cañas, Jose",,Jose,Boxer,6256,,Cañas
1269,"Pedraza, Domingo",,Domingo,Boxer,6256,,Pedraza
660,"Cutiño, Eduardo",,Eduardo,Boxer,6256,,Cutiño
151,"Vera, Teobaldo",,Teobaldo,Boxer,6256,,Vera
1275,"Celis, Manuel",,Manuel,Boxer,6256,,Celis
1279,"Galdames, Robinson",,Robinson,Boxer,6256,,Galdames
1283,"Castellon, Manuel",,Manuel,Boxer,6256,,Castellon
1284,"Duque, Oscar",,Oscar,Boxer,6256,,Duque
1289,"Romero, Jose P.","Colchagua Champion","Jose P.",Boxer,6256,,Romero
1290,"Muñoz, Benjamin",,Benjamin,Boxer,6256,,Muñoz
1292,"Nemesio, Oscar",,Oscar,Boxer,6256,,Nemesio
921,"Guzman, Humberto",,Humberto,Boxer,6256,,Guzman
1296,"Manriquez, Enrique",,Enrique,Boxer,6256,,Manriquez
1297,Tellez,,,Boxer,6256,,Tellez
1299,"Soto, Arturo",,Arturo,Boxer,6256,,Soto
1301,"Sanguinetti, Enrique",,Enrique,Boxer,6256,,Sanguinetti
1304,"Osorio, Carlos",,Carlos,Boxer,6256,,Osorio
1310,"Nuñez, Rogelio",,Rogelio,Boxer,6256,,Nuñez
