"Boxer H-ID",Cathegory,Weight,Weight_kgs,"Family name","Given name(s)","Job Affiliation",Age,City,Gender,"Source year",Source,"Club Affiliation H-ID","Club Affiliation RecordTitle"
106,Amateur,,,Cisterna,Oscar,,,Santiago,Male,1924-01-11,"Los Sports",,
107,Amateur,,,Quiroz,Luisa,,,Santiago,Female,1924-01-11,"Los Sports",,
112,Amateur,,65,Riquelme,"Pedro Aquiles",,,Valdivia,Male,1924-01-11,"Los Sports",,
113,Amateur,,,Baudoin,Armando,,,Tocopilla,Male,1924-01-11,"Los Sports",,
116,Amateur,,64,Milla,"Armando Ángel",,,Coquimbo,Male,1924-01-11,"Los Sports",,
118,Amateur,liviano,,Valenzuela,Arturo,,,Valdivia,Male,1924-01-11,"Los Sports",,
119,,pluma,,Moraga,Daniel,,,Valdivia,Male,1924-01-11,"Los Sports",,
120,Amateur,gallo,,Vergara,"Juan M.",,,Valdivia,Male,1924-01-11,"Los Sports",121,"Condell Boxing Club"
123,Amateur,,,Vera,Oscar,,,,Male,1924-01-11,"Los Sports",,
125,Amateur,,,Díaz,Carlos,,,,Male,1924-01-11,"Los Sports",,
126,Amateur,,,Rojas,Nicanor,,,Valparaíso,Male,1924-01-11,"Los Sports",,
135,Professional,,,Vargas,Armando,,,,Male,1924-01-11,"Los Sports",,
137,Amateur,,,Carreño,Juan,,,,,1924-01-11,"Los Sports",,
138,Amateur,,,Muñoz,Enrique,,,,Male,1924-01-11,"Los Sports",,
141,Professional,,,Mery,Filiberto,,,,Male,1924-01-18,"Los Sports",,
143,Amateur,liviano,60,Caldera,Francisco,,,,,1924-01-18,"Los Sports",,
144,Amateur,,45,Aguilera,Leopoldo,,,,Male,1924-01-18,"Los Sports",,
146,Professional,,,Lasseube,Enrique,,,,Male,1924-01-18,"Los Sports",,
147,Amateur,,,Contreras,Manuel,,,,,1924-01-18,"Los Sports",,
151,Amateur,"light weight",,Vera,Teobaldo,,,,Male,1924-01-18,"Los Sports",102,"Girardi Boxing Club"
152,Amateur|juvenile,,,Martínez,Carlos,"Internado Barros Arana",,,,1924-01-18,"Los Sports",154,"Internado Barros Arana B.C"
153,Amateur,,,Clemente,Arturo,"Internado Barros Arana",,,Male,1924-01-18,"Los Sports",154,"Internado Barros Arana B.C"
156,Professional,middleweight,,"Duque Rodríguez",José,,26,Talca,Male,1924-01-11,"Los Sports",,
157,Professional,,,"Duque Rodríguez",Rafael,,,,Male,1924-04-04,"Los Sports",102,"Girardi Boxing Club"
158,Amateur|juvenile,,48,Tapia,Julio,,,,Male,1924-01-25,"Los Sports",,
159,Amateur,,,Cerón,Manuel,,,,Male,1924-01-25,"Los Sports",,
160,Amateur,,,Durán,Julio,,,,Male,1924-01-25,"Los Sports",,
161,Amateur,,,Reyes,Ernesto,,,,Male,1924-01-25,"Los Spórts",,
162,Amateur,,,Guerra,Oscar,,,,,1924-01-25,"Los Sports",,
163,Amateur,,38,García,Francisco,,,,Male,1924-01-25,"Los Spórts",,
167,Professional,,,Martínez,Manuel,,,,Male,1924-01-25,"Los Sports",,
173,Professional,,,Raby,Emilio,,,,,1924-01-25,"Los Sports",,
174,Amateur,,,Tapia,Manuel,,,,,1924-01-25,"Los Sports",,
175,Amateur,,,Araya,Jorge,,,,,1924-01-25,"Los Sports",180,"Rodolfo Jaramillo B.C."
176,Amateur|Professional,,,Díaz,Jorge,,,,,1924-01-25,"Los Sports",,
177,Amateur,,,Fajardo,Ruperto,,,,Male,1924-01-25,"Los Sports",179,"Centro Tallman"
178,Amateur,,,Vargas,Armando,,,,,1924-01-25,"Los Sports",,
182,Amateur,flyweight,50,Castro,Luis,,,Temuco,Male,1924-01-25,"Los Sports",,
185,Amateur,,55,Amparán,Miguel,,,,Male,1924-01-25,"Los Sports",,
186,Amateur,,,Martínez,José,,,,,1924,"Los Sports",183,"Centro Académico Talcahuano"
187,Amateur,,,Ibarra,Oscar,,,Linares,Male,1924-01-25,"Los Sports",,
188,Boxer,gallo,,Román,Julio,,,,,1924-01-25,"Los Sports",,
189,Amateur,,43,Silva,Carlos,,,Antofagasta,Male,1924-02-01,"Los Sports",,
190,Professional,,,Bastías,Manuel,,,,,1924-02-01,"Los Sports",,
193,Amateur,lightweight,,Espinoza,José,,,curicó,Male,1924-01-08,"Los Sports",,
194,Amateur,,,Valenzuela,Humberto,,,,Male,1924-02-08,"Los Sports",,
195,Amateur,,60,Sepúlveda,Adrian,,,,Male,1924-02-08,"Los Sports",,
206,Amateur,,,Guevara,Alvaro,,,Valparaíso,Male,1924-02-08,"Los Sports|",,
207,Amateur,,,López,Zocimo,,,,Male,1924-02-08,"Los Sports",,
209,Amateur,,,Muñoz,Victor,,,,Male,1924-02-08,"Los Sports",,
210,Amateur,,,Rojas,Juan,,,,Male,1924-02-08,"Los Sports",,
212,Amateur,,,Tapia,Nicanor,,,Valparaíso,Male,1924-02-08,"Los Sports",,
213,Amateur,,,Lobos,Orlando,,,Santiago,Male,1924-02-08,"Los Sports",,
223,Amateur,,,Jaña,Andres,,,,,1924-02-08,"Los Sports",,
224,Amateur,,37,Orellana,Salvador,,,,,1924-02-08,"Los Sports",,
232,Professional,fly,,Pinto,Juan,,,Concepción,Male,1924-02-08,"Los Sprts",,
234,Amateur,,,Marchant,Leonel,,,,Male,1924-02-15,"Los Sports",,
