"Challenge H-ID",rec_Title,Source,"Source year","Boxers challenging H-ID","Boxers challenging RecordTitle","Boxer Challenged H-ID","Boxer Challenged RecordTitle",Status,Conditions,Basis,"Location Description",City,Location
1338,"Carvajal
Baeza","Semanario La Prensa Los Andes",1927-12-04,835,"Carvajal, Julio",836,"Baeza, Florencio",,,,,"San Felipe",
1340,"Huerta
Medalla","Semanario La Prensa. Los Andes",1928-01-22,842,"Huerta, Luis",837,"Medalla, Luis","not accepted","Whatever the boxer challenged desires","Through this press",,,
1341,"Mac-Conell
Rios","Semanario La Prensa. Los Andes",1928-02-02,890,"Mac-Conell, Roberto",866,"Rios, Luis","not accepted","whatever conditions the chellenged boxer decide","through this newspaper",,"San Felipe",
1343,"Cifuentes
Farias","Semanario La Prensa. Los Andes",1928-02-09,867,"Cifuentes, Alex",872,"Farias, Gabriel",accepted,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1345,"Mac-Conell
Carvajal","Semanario La Prensa. Los Andes",1928-02-09,890,"Mac-Conell, Roberto",835,"Carvajal, Julio",accepted,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1346,"Valdes
Lemus","Semanario La Prensa. Los Andes",1928-02-09,875,"Valdes, Miguel",839,"Lemus, Rosauro",,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1347,"Ortega
Baeza","Semanario La Prensa. Los Andes",1928-02-09,876,"Ortega, Oscar",836,"Baeza, Florencio",,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1348,"Rojas
Huerta","Semanario La Prensa. Los Andes",1928-02-09,873,"Rojas, Gregorio",842,"Huerta, Luis",,,"answer through this media",,"Los Andes","POINT(-70.598161 -32.833687)"
1349,"Barcelo
Baeza","Semanario La Prensa. Los Andes",1928-02-16,886,"Barcelo, Oscar",836,"Baeza, Florencio",,,,,,
1353,"Rios
Aracena","Semanario La Prensa. Los Andes",1928-02-16,1352,"Rios, Manuel",1351,"Aracena, Antonio",,"whatever the chellenged boxer wishes",,,"San Felipe","POINT(-70.725202 -32.750698)"
1354,"Fuentes
Aracena","Semanario La Prensa. Los Andes",1928-02-16,889,"Fuentes, Francisco",1351,"Aracena, Antonio",revancha,,,,"San Felipe","POINT(-70.725202 -32.750698)"
1357,"Mac-Conell
Baeza","Semanario La Prensa. Los Andes",1928-02-26,1355,"Mac-Conell, David",836,"Baeza, Florencio",,"10 rounds",,,"Los Andes",
1358,"Baeza
Badani","Semanario La Prensa. Los Andes",1928-02-26,836,"Baeza, Florencio",826,"Badani, Faustino",,"10 rounds",,,"Los Andes",
1360,"Baeza
Valdes","Semanario La Prensa. Los Andes",1928-02-26,836,"Baeza, Florencio",833,"Valdes, Mario",,"10 rounds",,,"Los Andes",
1361,"Castillo
Baeza","Semanario La Prensa. Los Andes",1928-03-02,865,"Castillo, Ernesto",836,"Baeza, Florencio",,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1362,"Araya
Mendoza","Semanario La Prensa. Los Andes",1928-04-05,1247,"Araya, Dionisio",844,"Mendoza, Viterbo",,,,,"Los Andes","POINT(-70.598161 -32.833687)"
1363,"Valdes
Pérez","Semanario La Prensa. Los Andes",1928-04-08,833,"Valdes, Mario",272,"Pérez, Amador",,,,,"Los Andes",
1364,"Ortiz
Araya","Semanario La Prensa. Los Andes",1928-04-08,976,"Ortiz, Rafael",882,"Araya, Manuel",,"conditions with the manager, in Santa Rosa 181",,,"Los Andes",
1365,"Valdes
Gallardo","Semanario La Prensa. Los Andes",1928,833,"Valdes, Mario",827,"Gallardo, Pedro",,,"set basis in Av Independencia 564",,"Los Andes",
