challenge_id,rec_Title,source,source_year,challenging_id,boxer_challenging,challenged_id,boxer_challenged,status,condition,basis,location_descp,city,location,weight
1322,Zamora v. Roberts,Los Sports,1925-06-21,1236,"Zamora, German",1321,"Roberts, Charly",,,,,Valparaíso,POINT(-71.631098 -33.040765),1
1327,Navarro v. Jaña,Los Sports,1923-09-28,1324,"Navarro, Alberto",223,"Jaña, Andres",,,,,Santiago,POINT(-70.650454 -33.437912),1
1329,Navarro v. Calda,Los Sports,1923-09-28,1324,"Navarro, Alberto",1328,"Calda, Victor",,,,,Santiago,POINT(-70.650454 -33.437912),1
1330,Vergara v. Neira,Los Sports,1923-09-28,1325,"Vergara, Eduardo",1326,"Neira, Carlos",,,,,Santiago,POINT(-70.650454 -33.437912),1
1331,Román v. Sánchez,Los Sports,1923-11-16,188,"Román, Julio",1250,"Sánchez, Domingo",tie break,,,,Santiago,POINT(-70.65045 -33.437776),1
1334,Murias v. Mery,Los Sports,1923-11-28,1332,"Murias, Emiliano",594,"Mery, Augusto",,whatever Mary determines,"230 box, Antofagasta",,Antofagasta,POINT(-70.388546 -23.645295),1
1337,Aguilera v. Moreno,Los Sports,1928-12-29,144,"Aguilera, Leopoldo",1336,"Moreno, G.",,,,,Santiago,,1
1338,Carvajal v. Baeza,Semanario La Prensa Los Andes,1927-12-04,835,"Carvajal, Julio",836,"Baeza, Florencio",,,,,San Felipe,POINT(-70.725202 -32.750698),1
1340,Huerta v. Medalla,Semanario La Prensa. Los Andes,1928-01-22,842,"Huerta, Luis",837,"Medalla, Luis",not accepted,Whatever the boxer challenged desires,Through this press,,Los Andes,POINT(-70.598161 -32.833687),1
1341,Mac-Conell v. Rios,Semanario La Prensa. Los Andes,1928-02-02,890,"Mac-Conell, Roberto",866,"Rios, Luis",not accepted,whatever conditions the chellenged boxer decide,through this newspaper,,San Felipe,POINT(-70.725202 -32.750698),1
1343,Cifuentes v. Farias,Semanario La Prensa. Los Andes,1928-02-09,867,"Cifuentes, Alex",872,"Farias, Gabriel",accepted,,,,Los Andes,POINT(-70.598161 -32.833687),1
1345,Mac-Conell v. Carvajal,Semanario La Prensa. Los Andes,1928-02-09,890,"Mac-Conell, Roberto",835,"Carvajal, Julio",accepted,,,,Los Andes,POINT(-70.598161 -32.833687),1
1346,Valdes v. Lemus,Semanario La Prensa. Los Andes,1928-02-09,875,"Valdes, Miguel",839,"Lemus, Rosauro",,,,,Los Andes,POINT(-70.598161 -32.833687),1
1347,Ortega v. Baeza,Semanario La Prensa. Los Andes,1928-02-09,876,"Ortega, Oscar",836,"Baeza, Florencio",,,,,Los Andes,POINT(-70.598161 -32.833687),1
1348,Rojas v. Huerta,Semanario La Prensa. Los Andes,1928-02-09,873,"Rojas, Gregorio",842,"Huerta, Luis",,,answer through this media,,Los Andes,POINT(-70.598161 -32.833687),1
1349,Barcelo v. Baeza,Semanario La Prensa. Los Andes,1928-02-16,886,"Barcelo, Oscar",836,"Baeza, Florencio",,,,,Los Andes,POINT(-70.598161 -32.833687),1
1353,Rios v. Aracena,Semanario La Prensa. Los Andes,1928-02-16,1352,"Rios, Manuel",1351,"Aracena, Antonio",,whatever the chellenged boxer wishes,,,San Felipe,POINT(-70.725202 -32.750698),1
1354,Fuentes v. Aracena,Semanario La Prensa. Los Andes,1928-02-16,889,"Fuentes, Francisco",1351,"Aracena, Antonio",revancha,,,,San Felipe,POINT(-70.725202 -32.750698),1
1357,Mac-Conell v. Baeza,Semanario La Prensa. Los Andes,1928-02-26,1355,"Mac-Conell, David",836,"Baeza, Florencio",,10 rounds,,,Los Andes,POINT(-70.598161 -32.833687),1
1358,Baeza v. Badani,Semanario La Prensa. Los Andes,1928-02-26,836,"Baeza, Florencio",826,"Badani, Faustino",,10 rounds,,,Los Andes,POINT(-70.598161 -32.833687),1
1360,Baeza v. Valdes,Semanario La Prensa. Los Andes,1928-02-26,836,"Baeza, Florencio",833,"Valdes, Mario",,10 rounds,,,Los Andes,POINT(-70.598161 -32.833687),1
1361,Castillo v. Baeza,Semanario La Prensa. Los Andes,1928-03-02,865,"Castillo, Ernesto",836,"Baeza, Florencio",,,,,Los Andes,POINT(-70.598161 -32.833687),1
1362,Araya v. Mendoza,Semanario La Prensa. Los Andes,1928-04-05,1247,"Araya, Dionisio",844,"Mendoza, Viterbo",,,,,Los Andes,POINT(-70.598161 -32.833687),1
1363,Valdes v. Pérez,Semanario La Prensa. Los Andes,1928-04-08,833,"Valdes, Mario",272,"Pérez, Amador",,,,,Los Andes,POINT(-70.598161 -32.833687),2
1364,Ortiz v. Araya,Semanario La Prensa. Los Andes,1928-04-08,976,"Ortiz, Rafael",882,"Araya, Manuel",,"conditions with the manager, in Santa Rosa 181",,,Los Andes,POINT(-70.598161 -32.833687),2
1365,Valdes v. Gallardo,Semanario La Prensa. Los Andes,1928-01-01,833,"Valdes, Mario",827,"Gallardo, Pedro",,,set basis in Av Independencia 564,,Los Andes,POINT(-70.598161 -32.833687),2
1372,Parraguez v. Varas,El Mercurio de Valparaiso,1921-01-08,1367,"Parraguez, Armando",1368,"Varas, Jose",not accepted,4 to 6 rounds,,Centro Arturo Prat,Valparaíso,POINT(-71.619675 -33.045846),1
1373,Gallardo v. Madrid,El Mercurio de Valparaiso,1921-01-08,1369,"Gallardo, Humberto",1370,"Madrid, Hector",not accepted,,"if Madrid does not answer, Gallardo will declare himself winner",Centro Arturo Prat,Valparaíso,POINT(-71.619675 -33.045846),1
1375,Gonzalez v. Bastías,El Mercurio de Valparaiso,1921-03-10,639,"Gonzalez, Johnston",190,"Bastías, Manuel",not accepted,10 rounds,,Centro de Box Pasaje Santiago,Valparaíso,POINT(-71.619675 -33.045846),1
1378,Roman v. Leiva,El Mercurio de Valparaiso,1921-07-13,1376,"Roman, Luis",1377,"Leiva, Manuel",not accepted,meeting at three pm to sign the basis,,,Valparaiso,POINT(-71.619675 -33.045846),1
